"Client ID",Name,Age,"Location ID","Joined Bank","Banking Contact",Nationality,Occupation,"Fee Structure","Loyalty Classification","Estimated Income","Superannuation Savings","Amount of Credit Cards","Credit Card Balance","Bank Loans","Bank Deposits","Checking Accounts","Saving Accounts","Foreign Currency Account","Business Lending","Properties Owned","Risk Weighting",Gender,InvestmentAdvisor,BankingRelationship,High_Potential_Lead
IND81288,"Raymond Mills",24,34324,06/05/19,"Anthony Torres",American,"Safety technician iv",High,Jade,75384.77,17677.95,1,484.54,776242.92,1485828.64,603617.88,607332.46,12249.96,1134475.3,1,2,Male,"Victor Dean",Retail,No
IND65833,"Julia Spencer",23,42205,10/12/01,"Jonathan Hawkins",African,"Software consultant",High,Jade,289834.31,17398.92,1,2256.88,1270615.43,641482.79,229521.37,344635.16,61162.31,2000526.1,1,3,Male,"Jeremy Porter",Institutional,No
IND47499,"Stephen Murray",27,7314,25/01/10,"Anthony Berry",European,"Help desk operator",High,Gold,169935.23,42825.9,2,4568.74,1052715.84,1033401.59,652674.69,203054.35,79071.78,548137.58,1,3,Female,"Ernest Knight","Private Bank",Yes
IND78532,"Samuel Hudson",23,13204,07/02/19,"Douglas Tucker",American,"Help desk technician",High,Silver,118326.96,6028.2,2,5148.56,601902.5,1307269.41,745627.74,238310.37,15615.18,1556031.06,1,2,Male,"Victor Rogers",Retail,No
IND40785,"Carl Martin",78,6127,03/11/00,"Steve Diaz",European,"Automation specialist ii",Mid,Gold,65125.8,31077.8,1,4576.58,1140704.8,156983.13,53889.73,46813.78,51979.19,1171456.68,0,2,Female,"Joe Carroll",Institutional,No
IND13570,"Philip Day",67,32656,07/04/15,"Bruce Butler",Asian,"Software test engineer ii",High,Silver,87849.47,9385.35,1,78.62,803444.46,1242347.22,328334.62,279528.12,27125.28,464560.28,0,1,Female,"Steve Sanchez",Institutional,No
IND53299,"Jason Sims",51,28340,20/11/95,"Joe Price",European,"Geologist iii",Mid,Silver,65369.36,27364.8,3,4836.86,60027.9,317246.67,111532.03,115869.39,48043.52,908583.94,2,1,Male,"Lawrence Sanchez","Private Bank",No
IND56452,"David Johnston",73,25563,12/09/05,"Chris Armstrong",American,"Database administrator ii",Mid,Jade,111449.06,17480.19,2,392.59,580468.51,749007.94,204991.65,513425.24,22904.91,294397.85,0,2,Female,"Victor Gutierrez","Private Bank",No
IND28766,"Wayne Foster",45,35687,17/03/18,"Joshua Ryan",African,"Staff scientist",Low,Silver,115637.19,10848.6,1,5055.31,815250.64,616330.93,208277.35,138738.22,6336.65,972455.46,3,1,Female,"Daniel Carroll","Private Bank",No
IND17897,"Carlos Moore",44,19554,02/01/96,"Paul Larson",American,"Programmer i",High,Jade,124434.78,26146,2,5211.37,984792.5,802862.97,263714.11,174051.32,68855.49,835554.83,0,2,Female,"Carl Anderson","Private Bank",No
IND86325,"Lisa Johnston",36,33368,05/06/20,"Mark Montgomery",Asian,"Software test engineer i",High,Platinum,260795.34,11584.68,1,2866.34,310876.62,116399.86,69072.45,67077.02,48101.13,1136169.3,1,2,Male,"Nicholas Ward","Private Bank",Yes
IND28503,"Jack Coleman",61,9505,22/06/14,"Ernest Rivera",Asian,"Staff accountant ii",High,Silver,257120.22,16263.99,1,8614.06,436988.44,2446251.57,1273391.23,253337.83,80698.26,1128082.14,1,3,Female,"Ryan Taylor",Commercial,No
IND56539,"Aaron Day",56,36232,19/01/20,"Gregory Simmons",Asian,"Assistant media planner",Low,Jade,145704.55,3078.27,1,1895.06,384153.37,55118.87,25590.9,64095.37,10492.37,199617.82,3,1,Female,"Sean Vasquez",Commercial,No
IND53604,"Kevin Weaver",43,6299,31/03/19,"Frank Brown",American,"Staff accountant i",Low,Jade,34404.16,19668.4,2,5384.7,1102836.16,204450.83,89694.56,35877.82,22452.06,1115542.44,3,1,Female,"Nicholas Morrison","Private Bank",No
IND32064,"Mary Fox",63,7694,09/03/09,"Adam Hernandez",Australian,"Compensation analyst",Mid,Jade,129060.88,17283.63,1,395.58,1000409.32,966281.34,472404.21,396819.54,37271.05,1631986.9,2,4,Female,"Jack Phillips",Retail,No
IND16101,"Roger Boyd",58,12772,31/12/15,"Adam Hernandez",European,"Web designer ii",High,Jade,123545.42,2984.52,1,2789.44,1400623.12,547459.74,324420.58,42985.73,31481.78,1255331.52,3,2,Female,"Gregory Boyd","Private Bank",No
IND93121,"Aaron Marshall",26,28661,14/01/13,"Ernest Rivera",American,"Media manager iv",Mid,Jade,308182.93,64332.66,1,4458.61,649331.84,103871.63,77431.58,133711.12,12045.07,176113.98,0,5,Female,"Victor Dean",Commercial,No
IND93310,"Cheryl Stewart",21,8767,23/05/21,"Victor Martinez",European,"Accounting assistant ii",High,Gold,122579.41,10312.54,1,4959.36,963017.56,1115098.09,368467.2,721419.98,11782.22,861771.26,1,2,Male,"Jeremy Porter",Retail,No
IND71301,"Anne Nguyen",41,14954,19/09/21,"Joshua Ryan",American,"Programmer ii",High,Jade,30942.07,4469.98,1,3338.64,276532.77,132960.52,108193.36,22381.69,23955.9,622223.7,0,1,Female,"Ernest Knight",Retail,No
IND21279,"Christopher Evans",36,24058,20/03/13,"Adam Hernandez",European,"Administrative assistant iv",High,Jade,50651.56,8097.25,3,509.21,278071.37,302540.6,94771.75,153748.94,16732.39,430027.77,3,1,Female,"Eric Shaw",Retail,No
IND98618,"Maria Clark",34,8623,29/01/14,"Joe Hanson",Asian,"Help desk operator",High,Silver,502309.08,69381,2,10639.31,1469913.23,1724818.3,507299.5,1168238.27,75592.25,2143826.06,0,4,Male,"Joe Carroll",Institutional,No
IND49616,"Angela Alvarez",34,31338,22/08/16,"Patrick Graham",Australian,"Biostatistician iv",Low,Jade,130023.36,15464.38,1,219.19,366887.14,447804.62,221138.08,271999.84,31010.83,787555.56,0,1,Male,"Peter Castillo","Private Bank",No
IND55475,"Henry Grant",75,21778,06/04/13,"Anthony Simpson",European,"Software test engineer i",Low,Jade,82703.81,8635.67,2,8521.8,842201.38,2098819.5,990288.08,424345.83,32253.44,272858.21,3,4,Male,"Victor Gutierrez","Private Bank",No
IND61272,"Larry Foster",47,34773,10/12/20,"Raymond Alexander",European,"Internal auditor",High,Gold,137256.09,18322.92,2,1050.56,1035297.66,976553.21,180073.64,471515.9,34284.83,469532.28,0,1,Female,"Daniel Carroll","Private Bank",No
IND33884,"Carol GoPKRalez",34,29287,29/05/21,"Carl Nguyen",European,"Chemical engineer",High,Platinum,224640.75,57090.72,3,3550.74,1091959.45,828226.52,532945.76,127330.83,61733.24,454281.87,1,3,Male,"Carl Anderson","Private Bank",No
IND53121,"Timothy Stanley",79,29278,15/02/21,"Joshua Little",American,"Accountant iii",High,Jade,147292.91,24297.42,1,4097.62,105266.65,187826.4,35438.94,70287.24,7805.91,1112746.46,3,1,Female,"Nicholas Ward","Private Bank",No
IND25680,"Billy Wilson",73,99,25/09/17,"Dennis Morris",European,"Registered nurse",High,Platinum,263248.97,47651.76,2,7069.16,693956.23,1420246.29,554930.67,235234.17,1624.19,2518271.85,3,3,Female,"Victor Dean","Private Bank",No
IND55454,"Kathleen Riley",80,20746,28/11/17,"Benjamin Kim",European,"Cost accountant",Low,Jade,193690.93,11655.54,2,3610.42,50809.39,342138.31,255463.27,174627.4,4469.13,626121.9,2,2,Male,"Jeremy Porter",Commercial,No
IND96454,"Bobby Jenkins",73,15809,05/03/14,"Nicholas Cunningham",European,"Developer iv",Low,Gold,91243.05,37750.72,3,6660.85,122158.61,2137439.34,639548.78,1273038.67,12504.17,411062.27,2,3,Female,"Ernest Knight",Commercial,No
IND14292,"Arthur Burns",51,30376,13/12/05,"Shawn Long",Asian,"Accounting assistant ii",Low,Platinum,162807.39,70394.4,1,811.96,709300.71,1667444.17,517118.76,274495.08,2337.77,270162.94,2,4,Male,"Eric Shaw","Private Bank",No
IND67206,"Lawrence Richardson",49,38915,13/01/12,"Anthony Simpson",European,"Junior executive",Mid,Gold,193729.94,44815.46,2,2062.15,66053.91,684295.05,337704.05,534461.09,47911.89,992911.86,2,3,Female,"Kevin Kim",Retail,Yes
IND90177,"Julia Roberts",81,5659,08/11/06,"Victor Martinez",European,"Software engineer i",Mid,Platinum,131497.09,15962.66,1,3127.86,57219.9,725666.6,233012.21,506302.25,21798.32,498564.84,0,1,Female,"Victor Rogers",Institutional,No
IND60970,"Philip Fisher",27,28045,23/12/01,"Carl Nguyen",Asian,"Accountant i",High,Gold,319205.91,49416,1,9.55,0,309361.94,360077.01,135307.81,17710.52,945483.98,3,4,Male,"Eugene Cunningham","Private Bank",No
IND87800,"Mark Mccoy",33,20816,24/01/08,"Patrick Graham",European,"Biostatistician i",High,Silver,420683.66,24472.55,1,1011.56,820479.9,1818216.16,683649.27,886562.2,14157.73,1549847.59,1,3,Male,"Steve Sanchez",Retail,Yes
IND75987,"Timothy Cook",79,30025,11/12/06,"Chris Armstrong",European,Nurse,Low,Jade,32062.52,19653.48,1,1612.82,231528.63,140280.05,170536.53,109748.51,5492.47,352732.73,0,1,Female,"Lawrence Sanchez",Retail,No
IND70083,"Larry Green",56,12219,28/08/16,"Benjamin Kim",European,"Human resources manager",Mid,Jade,92487.65,23690.51,1,2199.18,560657.25,208470.98,49811.65,134675.95,5026.45,407139.68,2,1,Male,"Peter Castillo",Retail,No
IND70450,"Edward Evans",77,31049,21/07/21,"Gregory Simmons",Australian,"Database administrator iii",High,Gold,54753.75,5311,1,1408.34,80386.11,11363.75,14158.11,4470.98,8745.72,390608.62,1,1,Female,"Daniel Carroll",Institutional,No
IND47520,"Joseph Morrison",49,3444,16/03/20,"George Lewis",Australian,"Web designer iii",Mid,Silver,180214.79,9226.35,2,587.71,791256.59,1988033,460993.16,783688.37,36763.45,1991318.1,2,2,Female,"Carl Anderson","Private Bank",Yes
IND69076,"Kathy Wheeler",67,3711,12/11/96,"Anthony Torres",European,"Senior editor",High,Jade,52826.78,26160.46,2,2617.61,385480.43,295345.61,277114.4,86634.71,20544.7,71268.33,2,1,Female,"Nicholas Ward","Private Bank",No
IND53190,"Amy Sims",66,30998,02/01/07,"Joshua Bennett",European,"Health coach iii",Low,Gold,43622.88,19416.4,1,229.9,39047.14,192729.77,87604.44,223391.32,16286.6,237137.34,0,1,Male,"Fred Bryant","Private Bank",No
IND33691,"Nicholas Gilbert",49,30551,07/04/09,"Douglas Tucker",African,"Systems administrator iii",High,Silver,90437.66,12737.4,3,2830.36,573366.17,202406.32,101203.16,80786.52,9723.87,704110,2,2,Male,"Sean Vasquez","Private Bank",No
IND20398,"Melissa Miller",65,16593,29/09/08,"Jason Duncan",Australian,"Biostatistician iii",High,Jade,32301.47,5597.4,1,1751.42,310657.96,74293.47,64447.35,14035.2,13795.28,579453.83,1,1,Male,"Nicholas Morrison","Private Bank",No
IND37195,"Christine Williams",31,10528,16/04/15,"Joshua Bennett",European,"Engineer iii",High,Jade,77971.46,7820.4,1,856.21,478157.92,61042.62,29222.53,25358.66,24984.35,487689.45,0,1,Female,"Gregory Boyd",Commercial,No
IND52609,"Angela Roberts",22,30762,09/07/05,"Nicholas Cunningham",European,"Health coach i",High,Jade,84111.51,18940.38,1,156.67,304608.18,130415.95,61947.58,84900.78,3455.22,356683.94,3,1,Male,"Victor Dean",Retail,No
IND61913,"Joshua Stephens",75,10119,30/08/12,"Samuel Fowler",American,"Software test engineer ii",High,Silver,243490.73,63872.76,1,5578.34,1045569.03,428657.45,214328.73,382765.89,32217.39,1105110.35,1,3,Male,"Ernest Knight","Private Bank",No
IND35876,"Evelyn Ramirez",18,28105,27/09/06,"Frank Brown",American,"Web designer ii",Mid,Jade,72431.34,34975.16,1,5303.5,1210753.08,205810.18,127568.29,29765.93,25402.35,1532523.47,0,2,Male,"Eric Shaw",Commercial,No
